Date,SKU_ID,Warehouse_ID,Supplier_ID,Region,Units_Sold,Inventory_Level,Supplier_Lead_Time_Days,Reorder_Point,Order_Quantity,Unit_Cost,Unit_Price,Promotion_Flag,Stockout_Flag,Demand_Forecast,Month,DayOfWeek,Quarter,Inventory_Gap,Price_Margin,Markup_Ratio
2024-01-01,SKU_1,WH_1,SUP_8,West,10,592,14,379,0,13.95,20.48,0,0,8.52,1,0,1,213,6.530000000000001,0.4681003584229392
2024-01-02,SKU_1,WH_1,SUP_8,West,17,575,14,379,0,13.95,20.48,0,0,18.63,1,1,1,196,6.530000000000001,0.4681003584229392
2024-01-03,SKU_1,WH_1,SUP_8,North,35,540,14,379,0,13.95,20.48,1,0,39.62,1,2,1,161,6.530000000000001,0.4681003584229392
2024-01-04,SKU_1,WH_1,SUP_8,South,24,516,14,379,0,13.95,20.48,0,0,19.43,1,3,1,137,6.530000000000001,0.4681003584229392
2024-01-05,SKU_1,WH_1,SUP_8,West,21,495,14,379,0,13.95,20.48,0,0,18.7,1,4,1,116,6.530000000000001,0.4681003584229392
2024-01-06,SKU_1,WH_1,SUP_8,East,18,477,14,379,0,13.95,20.48,0,0,18.33,1,5,1,98,6.530000000000001,0.4681003584229392
2024-01-07,SKU_1,WH_1,SUP_8,North,19,458,14,379,0,13.95,20.48,0,0,18.91,1,6,1,79,6.530000000000001,0.4681003584229392
2024-01-08,SKU_1,WH_1,SUP_8,North,23,435,14,379,0,13.95,20.48,1,0,25.84,1,0,1,56,6.530000000000001,0.4681003584229392
2024-01-09,SKU_1,WH_1,SUP_8,West,25,410,14,379,0,13.95,20.48,0,0,21.7,1,1,1,31,6.530000000000001,0.4681003584229392
2024-01-10,SKU_1,WH_1,SUP_8,South,25,385,14,379,0,13.95,20.48,0,0,21.34,1,2,1,6,6.530000000000001,0.4681003584229392
2024-01-11,SKU_1,WH_1,SUP_8,North,23,362,14,379,0,13.95,20.48,0,0,18.82,1,3,1,-17,6.530000000000001,0.4681003584229392
2024-01-12,SKU_1,WH_1,SUP_8,West,29,803,14,379,470,13.95,20.48,1,0,31.65,1,4,1,424,6.530000000000001,0.4681003584229392
2024-01-13,SKU_1,WH_1,SUP_8,North,25,778,14,379,0,13.95,20.48,0,0,25.08,1,5,1,399,6.530000000000001,0.4681003584229392
2024-01-14,SKU_1,WH_1,SUP_8,South,26,752,14,379,0,13.95,20.48,0,0,24.39,1,6,1,373,6.530000000000001,0.4681003584229392
2024-01-15,SKU_1,WH_1,SUP_8,North,19,733,14,379,0,13.95,20.48,1,0,21.16,1,0,1,354,6.530000000000001,0.4681003584229392
2024-01-16,SKU_1,WH_1,SUP_8,West,19,714,14,379,0,13.95,20.48,0,0,20.84,1,1,1,335,6.530000000000001,0.4681003584229392
2024-01-17,SKU_1,WH_1,SUP_8,East,26,688,14,379,0,13.95,20.48,0,0,23.28,1,2,1,309,6.530000000000001,0.4681003584229392
2024-01-18,SKU_1,WH_1,SUP_8,North,22,666,14,379,0,13.95,20.48,0,0,20.13,1,3,1,287,6.530000000000001,0.4681003584229392
2024-01-19,SKU_1,WH_1,SUP_8,North,28,638,14,379,0,13.95,20.48,1,0,31.49,1,4,1,259,6.530000000000001,0.4681003584229392
2024-01-20,SKU_1,WH_1,SUP_8,East,17,621,14,379,0,13.95,20.48,0,0,13.41,1,5,1,242,6.530000000000001,0.4681003584229392
2024-01-21,SKU_1,WH_1,SUP_8,East,25,596,14,379,0,13.95,20.48,0,0,19.95,1,6,1,217,6.530000000000001,0.4681003584229392
2024-01-22,SKU_1,WH_1,SUP_8,South,28,568,14,379,0,13.95,20.48,0,0,30.39,1,0,1,189,6.530000000000001,0.4681003584229392
2024-01-23,SKU_1,WH_1,SUP_8,West,20,548,14,379,0,13.95,20.48,0,0,21.0,1,1,1,169,6.530000000000001,0.4681003584229392
2024-01-24,SKU_1,WH_1,SUP_8,West,24,524,14,379,0,13.95,20.48,0,0,23.1,1,2,1,145,6.530000000000001,0.4681003584229392
2024-01-25,SKU_1,WH_1,SUP_8,East,20,504,14,379,0,13.95,20.48,0,0,21.27,1,3,1,125,6.530000000000001,0.4681003584229392
2024-01-26,SKU_1,WH_1,SUP_8,West,20,484,14,379,0,13.95,20.48,0,0,22.23,1,4,1,105,6.530000000000001,0.4681003584229392
2024-01-27,SKU_1,WH_1,SUP_8,South,28,456,14,379,0,13.95,20.48,0,0,29.08,1,5,1,77,6.530000000000001,0.4681003584229392
2024-01-28,SKU_1,WH_1,SUP_8,West,29,427,14,379,0,13.95,20.48,0,0,29.99,1,6,1,48,6.530000000000001,0.4681003584229392
2024-01-29,SKU_1,WH_1,SUP_8,West,29,398,14,379,0,13.95,20.48,0,0,28.37,1,0,1,19,6.530000000000001,0.4681003584229392
2024-01-30,SKU_1,WH_1,SUP_8,North,23,375,14,379,0,13.95,20.48,0,0,25.02,1,1,1,-4,6.530000000000001,0.4681003584229392
2024-01-31,SKU_1,WH_1,SUP_8,West,18,754,14,379,397,13.95,20.48,0,0,14.94,1,2,1,375,6.530000000000001,0.4681003584229392
2024-02-01,SKU_1,WH_1,SUP_8,South,34,720,14,379,0,13.95,20.48,0,0,33.54,2,3,1,341,6.530000000000001,0.4681003584229392
2024-02-02,SKU_1,WH_1,SUP_8,West,24,696,14,379,0,13.95,20.48,0,0,25.21,2,4,1,317,6.530000000000001,0.4681003584229392
2024-02-03,SKU_1,WH_1,SUP_8,South,22,674,14,379,0,13.95,20.48,0,0,21.56,2,5,1,295,6.530000000000001,0.4681003584229392
2024-02-04,SKU_1,WH_1,SUP_8,North,32,642,14,379,0,13.95,20.48,1,0,26.98,2,6,1,263,6.530000000000001,0.4681003584229392
2024-02-05,SKU_1,WH_1,SUP_8,East,25,617,14,379,0,13.95,20.48,0,0,26.03,2,0,1,238,6.530000000000001,0.4681003584229392
2024-02-06,SKU_1,WH_1,SUP_8,South,24,593,14,379,0,13.95,20.48,0,0,24.9,2,1,1,214,6.530000000000001,0.4681003584229392
2024-02-07,SKU_1,WH_1,SUP_8,East,35,558,14,379,0,13.95,20.48,0,0,29.18,2,2,1,179,6.530000000000001,0.4681003584229392
2024-02-08,SKU_1,WH_1,SUP_8,East,22,536,14,379,0,13.95,20.48,0,0,24.32,2,3,1,157,6.530000000000001,0.4681003584229392
2024-02-09,SKU_1,WH_1,SUP_8,South,28,508,14,379,0,13.95,20.48,0,0,27.93,2,4,1,129,6.530000000000001,0.4681003584229392
2024-02-10,SKU_1,WH_1,SUP_8,North,21,487,14,379,0,13.95,20.48,0,0,19.3,2,5,1,108,6.530000000000001,0.4681003584229392
2024-02-11,SKU_1,WH_1,SUP_8,South,21,466,14,379,0,13.95,20.48,0,0,18.95,2,6,1,87,6.530000000000001,0.4681003584229392
2024-02-12,SKU_1,WH_1,SUP_8,West,29,437,14,379,0,13.95,20.48,0,0,25.33,2,0,1,58,6.530000000000001,0.4681003584229392
2024-02-13,SKU_1,WH_1,SUP_8,West,37,400,14,379,0,13.95,20.48,1,0,29.59,2,1,1,21,6.530000000000001,0.4681003584229392
2024-02-14,SKU_1,WH_1,SUP_8,East,23,377,14,379,0,13.95,20.48,0,0,22.03,2,2,1,-2,6.530000000000001,0.4681003584229392
2024-02-15,SKU_1,WH_1,SUP_8,South,21,699,14,379,343,13.95,20.48,0,0,23.22,2,3,1,320,6.530000000000001,0.4681003584229392
2024-02-16,SKU_1,WH_1,SUP_8,North,23,676,14,379,0,13.95,20.48,1,0,23.36,2,4,1,297,6.530000000000001,0.4681003584229392
2024-02-17,SKU_1,WH_1,SUP_8,East,20,656,14,379,0,13.95,20.48,0,0,23.57,2,5,1,277,6.530000000000001,0.4681003584229392
2024-02-18,SKU_1,WH_1,SUP_8,South,28,628,14,379,0,13.95,20.48,0,0,28.32,2,6,1,249,6.530000000000001,0.4681003584229392
2024-02-19,SKU_1,WH_1,SUP_8,West,24,604,14,379,0,13.95,20.48,0,0,24.7,2,0,1,225,6.530000000000001,0.4681003584229392
2024-02-20,SKU_1,WH_1,SUP_8,West,31,573,14,379,0,13.95,20.48,0,0,36.37,2,1,1,194,6.530000000000001,0.4681003584229392
2024-02-21,SKU_1,WH_1,SUP_8,South,28,545,14,379,0,13.95,20.48,0,0,24.35,2,2,1,166,6.530000000000001,0.4681003584229392
2024-02-22,SKU_1,WH_1,SUP_8,West,27,518,14,379,0,13.95,20.48,0,0,25.85,2,3,1,139,6.530000000000001,0.4681003584229392
2024-02-23,SKU_1,WH_1,SUP_8,North,32,486,14,379,0,13.95,20.48,0,0,33.24,2,4,1,107,6.530000000000001,0.4681003584229392
